id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,rotation_deg,is_rgb,randomized_acquisition,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,seed,tier
122,./dataset_curated/no_noise/reference/00122.png,./dataset_curated/no_noise/search/00122.png,262.2035025819765,280.03703657988666,205.6,237.4,100,100,finfet_10nm,-1.7532704890131303,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
131,./dataset_curated/no_noise/reference/00131.png,./dataset_curated/no_noise/search/00131.png,527.2854738930063,507.04767782440825,477.1,457.7,100,100,finfet_45nm,1.349580561576527,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
175,./dataset_curated/no_noise/reference/00175.png,./dataset_curated/no_noise/search/00175.png,135.0755891227256,216.04603767674809,77.4,176.2,100,100,finfet_7nm,-1.5796959989424746,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
44,./dataset_curated/no_noise/reference/00044.png,./dataset_curated/no_noise/search/00044.png,252.47361386968765,410.9197281817345,204.6,355.2,100,100,finfet_10nm,1.3323193348486502,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
37,./dataset_curated/no_noise/reference/00037.png,./dataset_curated/no_noise/search/00037.png,793.88436157408,67.06912961651156,730.1,8.0,100,100,finfet_10nm,-1.807283123091901,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
77,./dataset_curated/no_noise/reference/00077.png,./dataset_curated/no_noise/search/00077.png,714.3962371738828,582.8430095959243,665.7,529.4,100,100,finfet_28nm,-0.915181843129946,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
56,./dataset_curated/no_noise/reference/00056.png,./dataset_curated/no_noise/search/00056.png,572.6085555779962,652.8797545352679,523.4,602.5,100,100,finfet_7nm,-0.2960138427142986,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
6,./dataset_curated/no_noise/reference/00006.png,./dataset_curated/no_noise/search/00006.png,799.2772131811665,117.94525627725004,745.1,64.7,100,100,finfet_45nm,-0.6246045114727816,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
25,./dataset_curated/no_noise/reference/00025.png,./dataset_curated/no_noise/search/00025.png,689.2558610006766,282.1417859479612,641.7,234.3,100,100,finfet_45nm,0.6474844510084572,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
150,./dataset_curated/no_noise/reference/00150.png,./dataset_curated/no_noise/search/00150.png,712.1751943610809,297.20399978379095,657.5,242.4,100,100,finfet_7nm,-1.308548504469524,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
87,./dataset_curated/no_noise/reference/00087.png,./dataset_curated/no_noise/search/00087.png,856.3781693177656,444.20214954991263,806.3,393.7,100,100,finfet_45nm,-0.0806275051794238,False,False,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,9999,no_noise
